,created_at,text,user_id
118,Sat Mar 14 04:43:23 +0000 2020,"Hi I\u2019m back with my parents because campus said yah yeet cause Covid-19 isn\u2019t a joke. Anyway have a Ice I sketched\u2026 https:\/\/t.co\/otCoDnUtSL""",1005993925914578944
119,Sat Mar 14 04:43:23 +0000 2020,RT @jdwitherspoon: Back in the day I use to make skits regularly on YouTube,205711295
120,Sat Mar 14 04:43:23 +0000 2020,RT @Piki_pictures: [#\uac9c\ucc98\ub3cc]\n\ud654\uc774\ud2b8\ub370\uc774\uc5d0 \uc120\ubb3c\ucc98\ub7fc \ucc3e\uc544\uc640 \uc6b0\ub2f9\ud0d5\ud0d5 \ub09c\uc7a5\ud310 \uccb4\ud5d8\ud558\uace0 \uac04 CIX!\n\uc7a0\uc2dc \ud6c4 \ubc24 10\uc2dc,852952607475720192
121,Sat Mar 14 04:43:23 +0000 2020,"@shardsambit @BenjaminPDixon Just learned today Abascal was at CPAC in DC before this. The other Vox members seem t\u2026 https:\/\/t.co\/rZ2yIg90LL""",3810063073
122,Sat Mar 14 04:43:23 +0000 2020,"RT @KryozGaming: Worked on these pants today and also misplaced 5 needles..... excited for my random acupuncture https:\/\/t.co\/LqJ3dyhXRv""",1234355236476719104
123,Sat Mar 14 04:43:23 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),226423815
124,Sat Mar 14 04:43:23 +0000 2020,RT @PdxPestle: Happy FRIDAY THE THIRTEETH,778022173155921921
125,Sat Mar 14 04:43:23 +0000 2020,RT @KurtSchlichter: Yes,85724194
126,Sat Mar 14 04:43:23 +0000 2020,"@BOOMDASHILUSJO Atleast he get quarter a bread. I go supermarket and can't find any bread. See me a make pancakes l\u2026 https:\/\/t.co\/TrnWdADvfs""",212722230
127,Sat Mar 14 04:43:23 +0000 2020,RT @MJFinesseLover: 19 years ago today,844982546
128,Sat Mar 14 04:43:23 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),614508959
129,Sat Mar 14 04:43:23 +0000 2020,I was today years old when I found out I have a season allergies,1281710714
130,Sat Mar 14 04:43:23 +0000 2020,"RT @mochi_lattae: bringing back this compilation of slippery bangtan just in case you needed a good laugh\/smile today https:\/\/t.co\/NAOFu2g1\u2026""",48399426
131,Sat Mar 14 04:43:23 +0000 2020,"RT @XXL: Eight years ago today Wiz Khalifa dropped Taylor Allderdice \n\nThe classic mixtape is the third most downloaded project in Datpiff\u2026""",2284674319
132,Sat Mar 14 04:43:22 +0000 2020,RT @ALNL: Fellow NYers: If,992021792
133,Sat Mar 14 04:43:23 +0000 2020,"@Quemeros Hoy pensaba lo mismo. https:\/\/t.co\/trK30rh4bF""",60939248
134,Sat Mar 14 04:43:23 +0000 2020,RT @BlinkVotingCrew: [\ud83d\udea8] D-8 MASS VOTING \n\nBLINKs,1147419576549773312
135,Sat Mar 14 04:43:23 +0000 2020,"RT @ldrinkh20: Great now we have to deal with mummies too""",1217781842415362050
136,Sat Mar 14 04:43:23 +0000 2020,RT @Piki_pictures: [#\uac9c\ucc98\ub3cc]\n\ud654\uc774\ud2b8\ub370\uc774\uc5d0 \uc120\ubb3c\ucc98\ub7fc \ucc3e\uc544\uc640 \uc6b0\ub2f9\ud0d5\ud0d5 \ub09c\uc7a5\ud310 \uccb4\ud5d8\ud558\uace0 \uac04 CIX!\n\uc7a0\uc2dc \ud6c4 \ubc24 10\uc2dc,881158071094923265
137,Sat Mar 14 04:43:24 +0000 2020,"RT @TouchedByTy: I feel blessed because 3 years ago it took me a week to make $400 and now I make over $400 a day.\n\nThree years ago I wishe\u2026""",491781012
138,Sat Mar 14 04:43:24 +0000 2020,"RT @minashood: today i present to you: mina images you can hear https:\/\/t.co\/DjTS3AFSyO""",1032027255952814081
139,Sat Mar 14 04:43:24 +0000 2020,RT @NickersonCierra: \ud83d\udc64How are you doing today? Many of us had set routines and schedules,825107293255659520
140,Sat Mar 14 04:43:24 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),4251554248
141,Sat Mar 14 04:43:24 +0000 2020,"RT @niya_black: Please be in prayer for my baby sister. She has been missing since 2 am. We're in Durham NC. Her name is Sarah Black. Pray\u2026""",1203495667638951941
142,Sat Mar 14 04:43:24 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),1100230442727297025
143,Sat Mar 14 04:43:24 +0000 2020,RT @Piki_pictures: [#\uac9c\ucc98\ub3cc]\n\ud654\uc774\ud2b8\ub370\uc774\uc5d0 \uc120\ubb3c\ucc98\ub7fc \ucc3e\uc544\uc640 \uc6b0\ub2f9\ud0d5\ud0d5 \ub09c\uc7a5\ud310 \uccb4\ud5d8\ud558\uace0 \uac04 CIX!\n\uc7a0\uc2dc \ud6c4 \ubc24 10\uc2dc,285490528
144,Sat Mar 14 04:43:24 +0000 2020,23 #Bangladesh nationals,30627476
145,Sat Mar 14 04:43:24 +0000 2020,RT @WhiteHouse: Today's emergency orders will allow the @HHSgov Secretary to waive applicable rules and regulations to give doctors,270746819
146,Sat Mar 14 04:43:24 +0000 2020,\u0422\u0430\u043a-\u0442\u0430\u043a,89896557
147,Sat Mar 14 04:43:24 +0000 2020,"I needed this today.""",326449264
148,Sat Mar 14 04:43:24 +0000 2020,"RT @xoxotmdxoxo: Interesting that a Chinese person would help Americans when most of y\u2019all are fucking assholes https:\/\/t.co\/VWhxO991C2""",1096904447161221120
149,Sat Mar 14 04:43:24 +0000 2020,"look what i got today @lauvsongs https:\/\/t.co\/pfKpoBMAyv""",708789185637965824
150,Sat Mar 14 04:43:24 +0000 2020,"RT @xoxotmdxoxo: Interesting that a Chinese person would help Americans when most of y\u2019all are fucking assholes""",2179109577
151,Sat Mar 14 04:43:24 +0000 2020,"RT @FattyeXtension: Great day today for bot restocks! \ud83d\ude0b\n\n30+ copies of Splashforce secured today \ud83d\udd12\n\n36 PD copies \ud83d\udd12\n\nSome people didn't even\u2026""",1202429087915970561
152,Sat Mar 14 04:43:24 +0000 2020,RT @SpeakerPelosi: Today,1234897784253407233
153,Sat Mar 14 04:43:24 +0000 2020,Apparently I streamed for 9 hours today,3473211922
154,Sat Mar 14 04:43:24 +0000 2020,"@lapes21 @alexemcintyre Hey..Coincidence!! I am too! LOL..no hard feelings man.... I really do appreciate people wh\u2026 https:\/\/t.co\/IShDQeeevk""",20020113
